name;year;gender;count;percentage
Aegidii;2014;M;317;47.0
Überwasser;2014;M;343;44.0
Dom;2014;M;635;52.8
Buddenturm;2014;M;589;49.7
Martini;2014;M;291;37.9
Altstadt;2014;M;2175;47.2
Pluggendorf;2014;M;939;40.8
Josef;2014;M;1854;42.0
Bahnhof;2014;M;374;49.9
Hansaplatz;2014;M;1774;47.2
Mauritz-West;2014;M;1220;41.1
Schlachthof;2014;M;817;42.7
Kreuz;2014;M;2470;44.8
Neutor;2014;M;1010;48.3
Schloss;2014;M;347;42.3
Innenstadtring;2014;M;10805;44.1
Aaseestadt;2014;M;648;39.8
Geist;2014;M;1509;46.8
Schützenhof;2014;M;1615;45.6
Düesberg;2014;M;785;46.5
Mitte-Süd;2014;M;4557;45.2
Hafen;2014;M;291;49.5
Herz-Jesu;2014;M;906;45.4
Mauritz-Mitte;2014;M;1571;41.7
Rumphorst;2014;M;884;42.8
Uppenberg;2014;M;1495;47.1
Mitte-Nordost;2014;M;5147;44.4
Mitte;2014;M;22684;44.7
Gievenbeck;2014;M;2394;46.3
Sentrup;2014;M;1223;42.7
Mecklenbeck;2014;M;955;47.1
Albachten;2014;M;338;44.7
Roxel;2014;M;955;50.6
Nienberge;2014;M;817;51.6
West;2014;M;6682;46.7
Coerde;2014;M;969;48.6
Kinderhaus-Ost;2014;M;606;45.6
Kinderhaus-West;2014;M;912;46.7
Sprakel;2014;M;255;54.1
Nord;2014;M;2742;47.7
Mauritz-Ost;2014;M;1055;42.3
Gelmer-Dyckburg;2014;M;287;47.4
Handorf;2014;M;507;42.6
Ost;2014;M;1849;43.1
Gremmendorf-West;2014;M;562;51.7
Gremmendorf-Ost;2014;M;598;47.1
Angelmodde;2014;M;786;47.6
Wolbeck;2014;M;721;46.2
Südost;2014;M;2667;47.9
Berg Fidel;2014;M;545;51.5
Hiltrup-Ost;2014;M;459;43.9
Hiltrup-Mitte;2014;M;1128;44.7
Hiltrup-West;2014;M;772;49.8
Amelsbüren;2014;M;332;45.8
Hiltrup;2014;M;3236;46.9
Münster;2014;M;39860;45.5
Aegidii;2014;F;357;53.0
Überwasser;2014;F;436;56.0
Dom;2014;F;568;47.2
Buddenturm;2014;F;595;50.3
Martini;2014;F;476;62.1
Altstadt;2014;F;2432;52.8
Pluggendorf;2014;F;1360;59.2
Josef;2014;F;2557;58.0
Bahnhof;2014;F;376;50.1
Hansaplatz;2014;F;1983;52.8
Mauritz-West;2014;F;1746;58.9
Schlachthof;2014;F;1095;57.3
Kreuz;2014;F;3038;55.2
Neutor;2014;F;1081;51.7
Schloss;2014;F;473;57.7
Innenstadtring;2014;F;13709;55.9
Aaseestadt;2014;F;982;60.2
Geist;2014;F;1712;53.2
Schützenhof;2014;F;1926;54.4
Düesberg;2014;F;902;53.5
Mitte-Süd;2014;F;5522;54.8
Hafen;2014;F;297;50.5
Herz-Jesu;2014;F;1091;54.6
Mauritz-Mitte;2014;F;2192;58.3
Rumphorst;2014;F;1183;57.2
Uppenberg;2014;F;1676;52.9
Mitte-Nordost;2014;F;6439;55.6
Mitte;2014;F;28102;55.3
Gievenbeck;2014;F;2780;53.7
Sentrup;2014;F;1641;57.3
Mecklenbeck;2014;F;1073;52.9
Albachten;2014;F;418;55.3
Roxel;2014;F;933;49.4
Nienberge;2014;F;767;48.4
West;2014;F;7612;53.3
Coerde;2014;F;1025;51.4
Kinderhaus-Ost;2014;F;724;54.4
Kinderhaus-West;2014;F;1039;53.3
Sprakel;2014;F;216;45.9
Nord;2014;F;3004;52.3
Mauritz-Ost;2014;F;1438;57.7
Gelmer-Dyckburg;2014;F;319;52.6
Handorf;2014;F;682;57.4
Ost;2014;F;2439;56.9
Gremmendorf-West;2014;F;524;48.3
Gremmendorf-Ost;2014;F;671;52.9
Angelmodde;2014;F;866;52.4
Wolbeck;2014;F;840;53.8
Südost;2014;F;2901;52.1
Berg Fidel;2014;F;514;48.5
Hiltrup-Ost;2014;F;586;56.1
Hiltrup-Mitte;2014;F;1393;55.3
Hiltrup-West;2014;F;777;50.2
Amelsbüren;2014;F;393;54.2
Hiltrup;2014;F;3663;53.1
Münster;2014;F;47721;54.5
