name;year;avgPerson
Aegidii;2010;1.43
Überwasser;2010;1.32
Dom;2010;1.36
Buddenturm;2010;1.42
Martini;2010;1.36
Altstadt;2010;1.38
Pluggendorf;2010;1.36
Josef;2010;1.41
Bahnhof;2010;1.29
Hansaplatz;2010;1.40
Mauritz-West;2010;1.48
Schlachthof;2010;1.67
Kreuz;2010;1.54
Neutor;2010;1.45
Schloss;2010;1.62
Innenstadtring;2010;1.47
Aaseestadt;2010;1.78
Geist;2010;1.70
Schützenhof;2010;1.49
Düesberg;2010;1.96
Mitte-Süd;2010;1.71
Hafen;2010;1.35
Herz-Jesu;2010;1.55
Mauritz-Mitte;2010;1.67
Rumphorst;2010;1.96
Uppenberg;2010;1.69
Mitte-Nordost;2010;1.71
Mitte;2010;1.58
Gievenbeck;2010;2.07
Sentrup;2010;1.73
Mecklenbeck;2010;2.09
Albachten;2010;2.45
Roxel;2010;2.10
Nienberge;2010;2.04
West;2010;2.06
Coerde;2010;2.21
Kinderhaus-Ost;2010;1.90
Kinderhaus-West;2010;2.20
Sprakel;2010;2.33
Nord;2010;2.15
Mauritz-Ost;2010;1.94
Gelmer-Dyckburg;2010;2.26
Handorf;2010;2.29
Ost;2010;2.11
Gremmendorf-West;2010;2.17
Gremmendorf-Ost;2010;2.19
Angelmodde;2010;2.06
Wolbeck;2010;2.20
Südost;2010;2.15
Berg Fidel;2010;2.16
Hiltrup-Ost;2010;2.20
Hiltrup-Mitte;2010;1.90
Hiltrup-West;2010;2.26
Amelsbüren;2010;2.49
Hiltrup;2010;2.16
Münster;2010;1.86
Aegidii;2011;1.41
Überwasser;2011;1.30
Dom;2011;1.33
Buddenturm;2011;1.38
Martini;2011;1.33
Altstadt;2011;1.35
Pluggendorf;2011;1.34
Josef;2011;1.39
Bahnhof;2011;1.26
Hansaplatz;2011;1.37
Mauritz-West;2011;1.46
Schlachthof;2011;1.64
Kreuz;2011;1.51
Neutor;2011;1.40
Schloss;2011;1.57
Innenstadtring;2011;1.45
Aaseestadt;2011;1.78
Geist;2011;1.66
Schützenhof;2011;1.47
Düesberg;2011;1.96
Mitte-Süd;2011;1.68
Hafen;2011;1.34
Herz-Jesu;2011;1.51
Mauritz-Mitte;2011;1.65
Rumphorst;2011;1.91
Uppenberg;2011;1.65
Mitte-Nordost;2011;1.67
Mitte;2011;1.55
Gievenbeck;2011;1.99
Sentrup;2011;1.65
Mecklenbeck;2011;2.03
Albachten;2011;2.42
Roxel;2011;2.07
Nienberge;2011;2.00
West;2011;1.99
Coerde;2011;2.19
Kinderhaus-Ost;2011;1.87
Kinderhaus-West;2011;2.14
Sprakel;2011;2.35
Nord;2011;2.12
Mauritz-Ost;2011;1.92
Gelmer-Dyckburg;2011;2.24
Handorf;2011;2.25
Ost;2011;2.08
Gremmendorf-West;2011;2.11
Gremmendorf-Ost;2011;2.17
Angelmodde;2011;2.05
Wolbeck;2011;2.17
Südost;2011;2.12
Berg Fidel;2011;2.12
Hiltrup-Ost;2011;2.17
Hiltrup-Mitte;2011;1.88
Hiltrup-West;2011;2.21
Amelsbüren;2011;2.47
Hiltrup;2011;2.13
Münster;2011;1.82
Aegidii;2012;1.41
Überwasser;2012;1.31
Dom;2012;1.33
Buddenturm;2012;1.36
Martini;2012;1.33
Altstadt;2012;1.35
Pluggendorf;2012;1.33
Josef;2012;1.39
Bahnhof;2012;1.28
Hansaplatz;2012;1.37
Mauritz-West;2012;1.45
Schlachthof;2012;1.63
Kreuz;2012;1.51
Neutor;2012;1.41
Schloss;2012;1.57
Innenstadtring;2012;1.44
Aaseestadt;2012;1.76
Geist;2012;1.65
Schützenhof;2012;1.47
Düesberg;2012;1.95
Mitte-Süd;2012;1.68
Hafen;2012;1.33
Herz-Jesu;2012;1.49
Mauritz-Mitte;2012;1.65
Rumphorst;2012;1.90
Uppenberg;2012;1.65
Mitte-Nordost;2012;1.67
Mitte;2012;1.54
Gievenbeck;2012;1.97
Sentrup;2012;1.65
Mecklenbeck;2012;2.07
Albachten;2012;2.41
Roxel;2012;2.07
Nienberge;2012;1.99
West;2012;1.99
Coerde;2012;2.19
Kinderhaus-Ost;2012;1.88
Kinderhaus-West;2012;2.13
Sprakel;2012;2.32
Nord;2012;2.12
Mauritz-Ost;2012;1.93
Gelmer-Dyckburg;2012;2.23
Handorf;2012;2.25
Ost;2012;2.08
Gremmendorf-West;2012;2.10
Gremmendorf-Ost;2012;2.16
Angelmodde;2012;2.03
Wolbeck;2012;2.15
Südost;2012;2.11
Berg Fidel;2012;2.14
Hiltrup-Ost;2012;2.15
Hiltrup-Mitte;2012;1.85
Hiltrup-West;2012;2.20
Amelsbüren;2012;2.45
Hiltrup;2012;2.11
Münster;2012;1.82
Aegidii;2013;1.41
Überwasser;2013;1.30
Dom;2013;1.34
Buddenturm;2013;1.35
Martini;2013;1.34
Altstadt;2013;1.35
Pluggendorf;2013;1.33
Josef;2013;1.39
Bahnhof;2013;1.28
Hansaplatz;2013;1.36
Mauritz-West;2013;1.46
Schlachthof;2013;1.64
Kreuz;2013;1.51
Neutor;2013;1.42
Schloss;2013;1.57
Innenstadtring;2013;1.45
Aaseestadt;2013;1.75
Geist;2013;1.64
Schützenhof;2013;1.47
Düesberg;2013;1.94
Mitte-Süd;2013;1.67
Hafen;2013;1.34
Herz-Jesu;2013;1.50
Mauritz-Mitte;2013;1.64
Rumphorst;2013;1.88
Uppenberg;2013;1.64
Mitte-Nordost;2013;1.66
Mitte;2013;1.54
Gievenbeck;2013;1.95
Sentrup;2013;1.65
Mecklenbeck;2013;2.05
Albachten;2013;2.41
Roxel;2013;2.09
Nienberge;2013;1.98
West;2013;1.98
Coerde;2013;2.16
Kinderhaus-Ost;2013;1.89
Kinderhaus-West;2013;2.12
Sprakel;2013;2.27
Nord;2013;2.10
Mauritz-Ost;2013;1.92
Gelmer-Dyckburg;2013;2.20
Handorf;2013;2.24
Ost;2013;2.07
Gremmendorf-West;2013;2.03
Gremmendorf-Ost;2013;2.11
Angelmodde;2013;2.01
Wolbeck;2013;2.13
Südost;2013;2.07
Berg Fidel;2013;2.13
Hiltrup-Ost;2013;2.12
Hiltrup-Mitte;2013;1.85
Hiltrup-West;2013;2.18
Amelsbüren;2013;2.44
Hiltrup;2013;2.10
Münster;2013;1.81
Aegidii;2014;1.44
Überwasser;2014;1.31
Dom;2014;1.33
Buddenturm;2014;1.36
Martini;2014;1.34
Altstadt;2014;1.35
Pluggendorf;2014;1.35
Josef;2014;1.40
Bahnhof;2014;1.29
Hansaplatz;2014;1.36
Mauritz-West;2014;1.46
Schlachthof;2014;1.65
Kreuz;2014;1.51
Neutor;2014;1.43
Schloss;2014;1.55
Innenstadtring;2014;1.45
Aaseestadt;2014;1.75
Geist;2014;1.64
Schützenhof;2014;1.48
Düesberg;2014;1.94
Mitte-Süd;2014;1.67
Hafen;2014;1.35
Herz-Jesu;2014;1.50
Mauritz-Mitte;2014;1.63
Rumphorst;2014;1.90
Uppenberg;2014;1.64
Mitte-Nordost;2014;1.66
Mitte;2014;1.54
Gievenbeck;2014;1.95
Sentrup;2014;1.65
Mecklenbeck;2014;2.00
Albachten;2014;2.41
Roxel;2014;2.08
Nienberge;2014;1.97
West;2014;1.97
Coerde;2014;2.14
Kinderhaus-Ost;2014;1.87
Kinderhaus-West;2014;2.12
Sprakel;2014;2.25
Nord;2014;2.09
Mauritz-Ost;2014;1.92
Gelmer-Dyckburg;2014;2.19
Handorf;2014;2.24
Ost;2014;2.07
Gremmendorf-West;2014;2.02
Gremmendorf-Ost;2014;2.09
Angelmodde;2014;2.03
Wolbeck;2014;2.12
Südost;2014;2.07
Berg Fidel;2014;2.10
Hiltrup-Ost;2014;2.11
Hiltrup-Mitte;2014;1.84
Hiltrup-West;2014;2.17
Amelsbüren;2014;2.43
Hiltrup;2014;2.09
Münster;2014;1.80
