name;year;count
Aegidii;2010;63
Überwasser;2010;46
Dom;2010;81
Buddenturm;2010;93
Martini;2010;63
Altstadt;2010;346
Pluggendorf;2010;151
Josef;2010;391
Bahnhof;2010;30
Hansaplatz;2010;347
Mauritz-West;2010;408
Schlachthof;2010;438
Kreuz;2010;853
Neutor;2010;162
Schloss;2010;134
Innenstadtring;2010;2914
Aaseestadt;2010;426
Geist;2010;775
Schützenhof;2010;462
Düesberg;2010;641
Mitte-Süd;2010;2304
Hafen;2010;42
Herz-Jesu;2010;289
Mauritz-Mitte;2010;793
Rumphorst;2010;817
Uppenberg;2010;690
Mitte-Nordost;2010;2631
Mitte;2010;8195
Gievenbeck;2010;2153
Sentrup;2010;478
Mecklenbeck;2010;895
Albachten;2010;720
Roxel;2010;881
Nienberge;2010;575
West;2010;5702
Coerde;2010;1225
Kinderhaus-Ost;2010;481
Kinderhaus-West;2010;1088
Sprakel;2010;314
Nord;2010;3108
Mauritz-Ost;2010;921
Gelmer-Dyckburg;2010;393
Handorf;2010;856
Ost;2010;2170
Gremmendorf-West;2010;529
Gremmendorf-Ost;2010;766
Angelmodde;2010;739
Wolbeck;2010;935
Südost;2010;2969
Berg Fidel;2010;608
Hiltrup-Ost;2010;635
Hiltrup-Mitte;2010;964
Hiltrup-West;2010;1057
Amelsbüren;2010;715
Hiltrup;2010;3979
Münster;2010;26123
Aegidii;2011;70
Überwasser;2011;48
Dom;2011;87
Buddenturm;2011;89
Martini;2011;60
Altstadt;2011;354
Pluggendorf;2011;151
Josef;2011;399
Bahnhof;2011;30
Hansaplatz;2011;344
Mauritz-West;2011;402
Schlachthof;2011;457
Kreuz;2011;862
Neutor;2011;170
Schloss;2011;133
Innenstadtring;2011;2948
Aaseestadt;2011;434
Geist;2011;770
Schützenhof;2011;481
Düesberg;2011;648
Mitte-Süd;2011;2333
Hafen;2011;43
Herz-Jesu;2011;282
Mauritz-Mitte;2011;784
Rumphorst;2011;805
Uppenberg;2011;711
Mitte-Nordost;2011;2625
Mitte;2011;8260
Gievenbeck;2011;2193
Sentrup;2011;512
Mecklenbeck;2011;899
Albachten;2011;733
Roxel;2011;909
Nienberge;2011;591
West;2011;5837
Coerde;2011;1249
Kinderhaus-Ost;2011;481
Kinderhaus-West;2011;1089
Sprakel;2011;329
Nord;2011;3148
Mauritz-Ost;2011;950
Gelmer-Dyckburg;2011;400
Handorf;2011;866
Ost;2011;2216
Gremmendorf-West;2011;501
Gremmendorf-Ost;2011;781
Angelmodde;2011;760
Wolbeck;2011;933
Südost;2011;2975
Berg Fidel;2011;599
Hiltrup-Ost;2011;609
Hiltrup-Mitte;2011;947
Hiltrup-West;2011;1061
Amelsbüren;2011;741
Hiltrup;2011;3957
Münster;2011;26393
Aegidii;2012;72
Überwasser;2012;48
Dom;2012;78
Buddenturm;2012;87
Martini;2012;58
Altstadt;2012;343
Pluggendorf;2012;148
Josef;2012;406
Bahnhof;2012;35
Hansaplatz;2012;349
Mauritz-West;2012;396
Schlachthof;2012;438
Kreuz;2012;843
Neutor;2012;177
Schloss;2012;136
Innenstadtring;2012;2928
Aaseestadt;2012;441
Geist;2012;768
Schützenhof;2012;479
Düesberg;2012;649
Mitte-Süd;2012;2337
Hafen;2012;37
Herz-Jesu;2012;272
Mauritz-Mitte;2012;789
Rumphorst;2012;815
Uppenberg;2012;732
Mitte-Nordost;2012;2645
Mitte;2012;8253
Gievenbeck;2012;2185
Sentrup;2012;509
Mecklenbeck;2012;873
Albachten;2012;749
Roxel;2012;948
Nienberge;2012;608
West;2012;5872
Coerde;2012;1271
Kinderhaus-Ost;2012;494
Kinderhaus-West;2012;1096
Sprakel;2012;333
Nord;2012;3194
Mauritz-Ost;2012;981
Gelmer-Dyckburg;2012;418
Handorf;2012;888
Ost;2012;2287
Gremmendorf-West;2012;497
Gremmendorf-Ost;2012;767
Angelmodde;2012;773
Wolbeck;2012;955
Südost;2012;2992
Berg Fidel;2012;608
Hiltrup-Ost;2012;597
Hiltrup-Mitte;2012;937
Hiltrup-West;2012;1076
Amelsbüren;2012;749
Hiltrup;2012;3967
Münster;2012;26565
Aegidii;2013;69
Überwasser;2013;48
Dom;2013;78
Buddenturm;2013;91
Martini;2013;59
Altstadt;2013;345
Pluggendorf;2013;151
Josef;2013;416
Bahnhof;2013;34
Hansaplatz;2013;348
Mauritz-West;2013;411
Schlachthof;2013;444
Kreuz;2013;853
Neutor;2013;170
Schloss;2013;130
Innenstadtring;2013;2957
Aaseestadt;2013;436
Geist;2013;755
Schützenhof;2013;509
Düesberg;2013;633
Mitte-Süd;2013;2333
Hafen;2013;39
Herz-Jesu;2013;269
Mauritz-Mitte;2013;798
Rumphorst;2013;785
Uppenberg;2013;732
Mitte-Nordost;2013;2623
Mitte;2013;8258
Gievenbeck;2013;2159
Sentrup;2013;499
Mecklenbeck;2013;854
Albachten;2013;771
Roxel;2013;976
Nienberge;2013;599
West;2013;5858
Coerde;2013;1268
Kinderhaus-Ost;2013;507
Kinderhaus-West;2013;1076
Sprakel;2013;338
Nord;2013;3189
Mauritz-Ost;2013;983
Gelmer-Dyckburg;2013;414
Handorf;2013;878
Ost;2013;2275
Gremmendorf-West;2013;504
Gremmendorf-Ost;2013;723
Angelmodde;2013;819
Wolbeck;2013;959
Südost;2013;3005
Berg Fidel;2013;605
Hiltrup-Ost;2013;583
Hiltrup-Mitte;2013;930
Hiltrup-West;2013;1045
Amelsbüren;2013;751
Hiltrup;2013;3914
Münster;2013;26499
Aegidii;2014;77
Überwasser;2014;50
Dom;2014;71
Buddenturm;2014;89
Martini;2014;61
Altstadt;2014;348
Pluggendorf;2014;179
Josef;2014;400
Bahnhof;2014;39
Hansaplatz;2014;349
Mauritz-West;2014;411
Schlachthof;2014;455
Kreuz;2014;828
Neutor;2014;196
Schloss;2014;129
Innenstadtring;2014;2986
Aaseestadt;2014;451
Geist;2014;778
Schützenhof;2014;524
Düesberg;2014;647
Mitte-Süd;2014;2400
Hafen;2014;46
Herz-Jesu;2014;286
Mauritz-Mitte;2014;798
Rumphorst;2014;780
Uppenberg;2014;750
Mitte-Nordost;2014;2660
Mitte;2014;8394
Gievenbeck;2014;2160
Sentrup;2014;523
Mecklenbeck;2014;849
Albachten;2014;776
Roxel;2014;1000
Nienberge;2014;590
West;2014;5898
Coerde;2014;1278
Kinderhaus-Ost;2014;490
Kinderhaus-West;2014;1076
Sprakel;2014;338
Nord;2014;3182
Mauritz-Ost;2014;979
Gelmer-Dyckburg;2014;412
Handorf;2014;901
Ost;2014;2292
Gremmendorf-West;2014;504
Gremmendorf-Ost;2014;717
Angelmodde;2014;858
Wolbeck;2014;956
Südost;2014;3035
Berg Fidel;2014;600
Hiltrup-Ost;2014;587
Hiltrup-Mitte;2014;923
Hiltrup-West;2014;1049
Amelsbüren;2014;743
Hiltrup;2014;3902
Münster;2014;26703
